outcome_id,grade,scope,textbook,edition,chapter,lesson,source_url,source_locator,requirement_summary,representation_type,model_ids,template_ids,activity_ids,test_ids,reviewer,status,gap
practical.measurement,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,practical-data,uncertainty-error,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:I. Mở đầu và thực hành đo;lesson:uncertainty-error,"SI units, uncertainty and error",statistical,measurement_uncertainty,measurement_uncertainty_canvas,measurement_uncertainty_activity,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
practical.motion_lab,10,practical,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,practical-data,motion-lab,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:motion-lab,Motion measurement investigation,statistical,uniform_acceleration,motion,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Lab activity uses kinematics model; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
practical.circuit_lab,11,practical,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,practical-data,circuit-lab,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:I. Mở đầu và thực hành đo;lesson:circuit-lab,Circuit measurement investigation,statistical,ohms_law|resistors_series|resistors_parallel|capacitor_basic|rc_charging|rc_discharging,ohms_law_canvas|resistors_series_canvas|resistors_parallel_canvas|capacitor_basic_canvas|rc_circuit,ohms_law_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Lab activity capability mapped; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
practical.radiation_lab,12,practical,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,practical-data,radiation-lab,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:radiation-lab,Counting and radiation-safety investigation,statistical,radioactive_decay|radiation_safety,radioactive_decay_canvas|radiation_safety_canvas,radiation_safety_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Expectation/inverse-square lab capability; academic review pending; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.distance_displacement,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,distance-and-displacement,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:distance-and-displacement,Distance and displacement,statistical,uniform_acceleration,motion,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared kinematics displacement output; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.speed_velocity,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,speed-and-velocity,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:speed-and-velocity,Speed and velocity,statistical,uniform_acceleration,motion,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared kinematics velocity output; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.acceleration,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,acceleration,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:acceleration,Acceleration,statistical,uniform_acceleration,motion,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared kinematics acceleration output; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.uniform_acceleration,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,uniformly-accelerated-motion,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:uniformly-accelerated-motion,Uniformly accelerated motion,timeseries,uniform_acceleration,motion,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared kinematics acceleration model; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.free_fall,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,free-fall-motion,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:free-fall-motion,Free fall,timeseries,projectile,projectile,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Free fall is projectile model with zero horizontal speed; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.free_fall_equations,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,free-fall-equations,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:free-fall-equations,Free fall equations,timeseries,projectile,projectile,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared constant-g equations; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.horizontal_projectile,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,horizontal-projectile-motion,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:horizontal-projectile-motion,Horizontal projectile,timeseries,projectile,projectile,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared projectile model; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.oblique_projectile,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,oblique-projectile-motion,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:oblique-projectile-motion,Oblique projectile,timeseries,projectile,projectile,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared projectile model; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.position_graph,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,position-time-graph,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:position-time-graph,Position time graph,statistical,position_time_graph,position_time_graph_canvas,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Dedicated position-time schema over canonical kinematics series; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.velocity_graph,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,velocity-time-graph,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:velocity-time-graph,Velocity time graph,statistical,velocity_time_graph,velocity_time_graph_canvas,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Dedicated velocity-time schema over canonical kinematics series; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.acceleration_graph,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,kinematics,acceleration-time-graph,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:acceleration-time-graph,Acceleration time graph,statistical,acceleration_time_graph,acceleration_time_graph_canvas,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Dedicated acceleration-time schema over canonical kinematics series; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.force_acceleration,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,dynamics,force-and-acceleration,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:force-and-acceleration,Force and acceleration,timeseries,forces,motion,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared Newton/friction model; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.friction,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,dynamics,friction,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,"source:sgk10_kntt;chapter:III-VII. Động lực học, năng lượng, động lượng, chuyển động tròn và biến dạng;lesson:friction",Friction,timeseries,forces,motion,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Coulomb friction branch; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.harmonic_motion,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,oscillations,harmonic-motion,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:I. Dao dong;lesson:harmonic-motion,Harmonic motion,timeseries,spring,spring,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared SHM model; solver/reference regression passed; academic review pending; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.conservation_momentum,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,dynamics,conservation-of-momentum,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,"source:sgk10_kntt;chapter:III-VII. Động lực học, năng lượng, động lượng, chuyển động tròn và biến dạng;lesson:conservation-of-momentum",Conservation of momentum,timeseries,elastic_collision,collision,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Shared elastic-collision momentum invariant; solver/reference regression passed; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.current_voltage_resistance,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,circuits,current-voltage-resistance,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:IV. Dòng điện và mạch điện;lesson:current-voltage-resistance,Current voltage and resistance,timeseries,ohms_law,ohms_law_canvas,ohms_law_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,academic review pending; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.ohms_law,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,circuits,ohms-law,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:IV. Dòng điện và mạch điện;lesson:ohms-law,Ohm law,timeseries,ohms_law,ohms_law_canvas,ohms_law_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,academic review pending; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.series_parallel,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,circuits,series-parallel-circuits,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:IV. Dòng điện và mạch điện;lesson:series-parallel-circuits,Series and parallel circuits,timeseries,resistors_series|resistors_parallel,resistors_series_canvas|resistors_parallel_canvas,resistor_network_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,academic review pending; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.capacitance,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,circuits,capacitance,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:III. Dien truong;lesson:capacitance,Capacitance,timeseries,capacitor_basic,capacitor_basic_canvas,capacitor_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,academic review pending; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.ac_voltage_current,12,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,circuits,ac-voltage-current,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:IV. Dòng điện và mạch điện;lesson:ac-voltage-current,AC voltage and current,timeseries,ac_waveform,ac_waveform_canvas,ac_waveform_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,academic review pending; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.optical_instruments,11,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,optics,optical-instruments,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:optical-instruments,Optical instruments,ray,simple_magnifier|compound_microscope|astronomical_telescope,simple_magnifier_canvas|compound_microscope_canvas|astronomical_telescope_canvas,optical_instruments_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,"Paraxial magnifier, microscope and telescope are covered; full aberration/ray-tracing remains out of scope; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb"
curriculum.diffraction_polarization,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,optics,diffraction-polarization,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:diffraction-polarization,Diffraction and polarization,scalarField,diffraction_polarization,diffraction_polarization_canvas,diffraction_polarization_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,academic review pending; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.electric_potential,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,electromagnetism,electric-potential,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:III. Dien truong;lesson:electric-potential,Electric potential and energy,vectorField,point_charge_field,point_charge_field_canvas,electric_field_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Point-charge potential probe; academic review pending; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.transformers,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,electromagnetism,transformers,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:III. Từ trường và cảm ứng điện từ;lesson:transformers,Transformers,timeseries,ideal_transformer,ideal_transformer_canvas,transformer_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Ideal transformer only; academic review pending; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
curriculum.power_factor,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,electromagnetism,power-factor,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:power-factor,AC power factor,timeseries,ac_rlc_circuit,ac_rlc_circuit_canvas,ac_rlc_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Shared steady-state AC RLC power factor; academic review pending; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.atomic_spectra,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,modern-physics,atomic-spectra,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:atomic-spectra,Atomic spectra,timeseries,atomic_spectra,atomic_spectra_canvas,atomic_spectrum_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Hydrogen Rydberg model only; academic review pending; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.radiation_safety,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,modern-physics,radiation-safety,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:radiation-safety,Radiation safety,statistical,radiation_safety,radiation_safety_canvas,radiation_safety_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Inverse-square teaching model only; academic review pending; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.si_units,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,practical-data,si-units,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:I. Mở đầu và thực hành đo;lesson:si-units,SI units and significant figures,statistical,measurement_uncertainty,measurement_uncertainty_canvas,measurement_uncertainty_activity,CurriculumPhysicsExpansionTest,Vietnhb,approved,SI normalization/measurement contract; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.experimental_graphs,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,practical-data,experimental-graphs,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:I. Mở đầu và thực hành đo;lesson:experimental-graphs,Graphing experimental data,statistical,experimental_data_graph,experimental_data_graph_canvas,experimental_graph_activity,CurriculumPhysicsExpansionTest,Vietnhb,approved,Dedicated bounded linear-fit graph schema; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.temperature_scales,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,thermal,temperature-scales,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:I-II. Vật lí nhiệt và khí lí tưởng;lesson:temperature-scales,Temperature scales,statistical,temperature_scales,temperature_scales_canvas,temperature_scale_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,academic review pending; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
curriculum.thermal_expansion,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,thermal,thermal-expansion,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:I-II. Vật lí nhiệt và khí lí tưởng;lesson:thermal-expansion,Thermal expansion,timeseries,thermal_expansion,thermal_expansion_canvas,thermal_expansion_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,academic review pending; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
curriculum.heat_calorimetry,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,thermal,heat-calorimetry,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:I-II. Vật lí nhiệt và khí lí tưởng;lesson:heat-calorimetry,Heat and calorimetry,timeseries,calorimetry_mixing,calorimetry_mixing_canvas,calorimetry_measurement,CurriculumPhysicsExpansionTest,Vietnhb,approved,Needs teacher or subject expert approval; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
curriculum.gas_processes,12,core,Vật lí 12 - Kết nối tri thức với cuộc sống,2024 publisher metadata corroborated; scan is hosted by a third-party mirror,thermal,gas-processes,https://sieugioi.com/docs/threads/sach-giao-khoa-vat-li-12-file-pdf.1071/,source:sgk12_kntt;chapter:I-II. Vật lí nhiệt và khí lí tưởng;lesson:gas-processes,Gas processes,timeseries,ideal_gas_isothermal|adiabatic_gas|ideal_gas_isobaric|ideal_gas_isochoric,ideal_gas_isothermal_canvas|adiabatic_gas_canvas|ideal_gas_isobaric_canvas|ideal_gas_isochoric_canvas,adiabatic_gas_activity|ideal_gas_process_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Isothermal; reversible adiabatic; isobaric and isochoric ideal-gas paths; academic review pending; auto-source:sgk12_kntt; owner-attested-approved:Vietnhb
curriculum.elastic_collision,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,dynamics,elastic-collision,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,"source:sgk10_kntt;chapter:III-VII. Động lực học, năng lượng, động lượng, chuyển động tròn và biến dạng;lesson:elastic-collision",Elastic collision,timeseries,elastic_collision,collision,legacy_observe,LegacyCorePhysicsTest,Vietnhb,approved,Solver/reference regression passed; dedicated subject review remains; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.work_energy_power,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,dynamics,work-energy-power,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,"source:sgk10_kntt;chapter:III-VII. Động lực học, năng lượng, động lượng, chuyển động tròn và biến dạng;lesson:work-energy-power",Work energy and power,timeseries,work_energy_power,work_energy_power_canvas,work_energy_power_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Constant-force work-energy model; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.circular_motion,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,dynamics,circular-motion,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,source:sgk10_kntt;chapter:II. Động học;lesson:circular-motion,Uniform circular motion,timeseries,circular_motion,circular_motion_canvas,circular_motion_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Uniform-speed centripetal model; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.hooke_law,10,core,Vật lí 10 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; bibliographic year pending title-page verification,dynamics,hooke-law,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/9/sgk-vat-ly-lop-10-1762705900568218724925.pdf,"source:sgk10_kntt;chapter:III-VII. Động lực học, năng lượng, động lượng, chuyển động tròn và biến dạng;lesson:hooke-law",Hooke law and elastic deformation,timeseries,hooke_law,hooke_law_canvas,hooke_law_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Linear elastic regime only; academic review pending; auto-source:sgk10_kntt; owner-attested-approved:Vietnhb
curriculum.gravity_orbit,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,dynamics,gravity-orbit,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:Chuyen de 11.1. Vat li voi mot so nganh nghe;lesson:gravity-orbit,Gravity field and circular orbit,timeseries,gravity_orbit,gravity_orbit_canvas,gravity_orbit_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Newtonian two-body/circular-orbit approximation; academic review pending; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.hydrostatics,10,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,dynamics,hydrostatics,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:hydrostatics,Hydrostatic pressure and buoyancy,timeseries,hydrostatics,hydrostatics_canvas,hydrostatics_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Quiescent-fluid Archimedes model; academic review pending; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
curriculum.radio_communication,11,core,Vật lí 11 - Kết nối tri thức với cuộc sống,Publisher-cover PDF supplied by Vietnhb; sample approval mark 11-2022,waves,radio-communication,https://sqhx-hanoi.mediacdn.vn/91579363132710912/2025/11/18/3-sgk-vl-11-kntt-17634527300041496836870.pdf,source:sgk11_kntt;chapter:Chuyen de 11.2. Truyen thong tin bang song vo tuyen;lesson:radio-communication,Radio carrier and AM sidebands,timeseries,radio_communication,radio_communication_canvas,radio_communication_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Ideal AM carrier relations; academic review pending; auto-source:sgk11_kntt; owner-attested-approved:Vietnhb
curriculum.ultrasound_imaging,12,core,Chương trình giáo dục phổ thông 2018 - Thông tư 32/2018/TT-BGDĐT,Official legal curriculum framework,waves,ultrasound-imaging,https://vbpl.vn/TW/Pages/ivbpq-van-ban-goc.aspx?ItemID=146721,source:moet_tt32;chapter:Official curriculum outcome; supplied textbooks do not contain a direct lesson;lesson:ultrasound-imaging,Pulse echo ultrasound imaging,timeseries,ultrasound_imaging,ultrasound_imaging_canvas,ultrasound_imaging_activity,CurriculumMissingFamiliesTest,Vietnhb,approved,Single-interface pulse-echo depth model; academic review pending; auto-source:moet_tt32-fallback; owner-attested-approved:Vietnhb
